country_code,artist_name,bio_en,bio_ru,facts_en,facts_ru,photo_file
MD,Satoshi,Template bio for Satoshi. Replace with curated text.,Шаблон биографии для Satoshi. Замените на подготовленный текст.,Template facts for Satoshi.,Шаблон фактов для Satoshi.,
SE,Felicia,Template bio for Felicia. Replace with curated text.,Шаблон биографии для Felicia. Замените на подготовленный текст.,Template facts for Felicia.,Шаблон фактов для Felicia.,
HR,Lelek,Template bio for Lelek. Replace with curated text.,Шаблон биографии для Lelek. Замените на подготовленный текст.,Template facts for Lelek.,Шаблон фактов для Lelek.,
GR,Akylas,Template bio for Akylas. Replace with curated text.,Шаблон биографии для Akylas. Замените на подготовленный текст.,Template facts for Akylas.,Шаблон фактов для Akylas.,
PT,Bandidos do Cante,Template bio for Bandidos do Cante. Replace with curated text.,Шаблон биографии для Bandidos do Cante. Замените на подготовленный текст.,Template facts for Bandidos do Cante.,Шаблон фактов для Bandidos do Cante.,
GE,Bzikebi,Template bio for Bzikebi. Replace with curated text.,Шаблон биографии для Bzikebi. Замените на подготовленный текст.,Template facts for Bzikebi.,Шаблон фактов для Bzikebi.,
FI,Linda Lampenius and Pete Parkkonen,Template bio for Linda Lampenius and Pete Parkkonen. Replace with curated text.,Шаблон биографии для Linda Lampenius and Pete Parkkonen. Замените на подготовленный текст.,Template facts for Linda Lampenius and Pete Parkkonen.,Шаблон фактов для Linda Lampenius and Pete Parkkonen.,
ME,Tamara Živković,Template bio for Tamara Živković. Replace with curated text.,Шаблон биографии для Tamara Živković. Замените на подготовленный текст.,Template facts for Tamara Živković.,Шаблон фактов для Tamara Živković.,
EE,Vanilla Ninja,Template bio for Vanilla Ninja. Replace with curated text.,Шаблон биографии для Vanilla Ninja. Замените на подготовленный текст.,Template facts for Vanilla Ninja.,Шаблон фактов для Vanilla Ninja.,
IL,Noam Bettan,Template bio for Noam Bettan. Replace with curated text.,Шаблон биографии для Noam Bettan. Замените на подготовленный текст.,Template facts for Noam Bettan.,Шаблон фактов для Noam Bettan.,
BE,Essyla,Template bio for Essyla. Replace with curated text.,Шаблон биографии для Essyla. Замените на подготовленный текст.,Template facts for Essyla.,Шаблон фактов для Essyla.,
LT,Lion Ceccah,Template bio for Lion Ceccah. Replace with curated text.,Шаблон биографии для Lion Ceccah. Замените на подготовленный текст.,Template facts for Lion Ceccah.,Шаблон фактов для Lion Ceccah.,
SM,Senhit[\[b\]](#cite%5Fnote-BoyGeorge-65),Template bio for Senhit[\[b\]](#cite%5Fnote-BoyGeorge-65). Replace with curated text.,Шаблон биографии для Senhit[\[b\]](#cite%5Fnote-BoyGeorge-65). Замените на подготовленный текст.,Template facts for Senhit[\[b\]](#cite%5Fnote-BoyGeorge-65).,Шаблон фактов для Senhit[\[b\]](#cite%5Fnote-BoyGeorge-65).,
PL,Alicja,Template bio for Alicja. Replace with curated text.,Шаблон биографии для Alicja. Замените на подготовленный текст.,Template facts for Alicja.,Шаблон фактов для Alicja.,
RS,Lavina,Template bio for Lavina. Replace with curated text.,Шаблон биографии для Lavina. Замените на подготовленный текст.,Template facts for Lavina.,Шаблон фактов для Lavina.,
BG,Dara,Template bio for Dara. Replace with curated text.,Шаблон биографии для Dara. Замените на подготовленный текст.,Template facts for Dara.,Шаблон фактов для Dara.,
AZ,Jiva,Template bio for Jiva. Replace with curated text.,Шаблон биографии для Jiva. Замените на подготовленный текст.,Template facts for Jiva.,Шаблон фактов для Jiva.,
RO,Alexandra Căpitănescu,Template bio for Alexandra Căpitănescu. Replace with curated text.,Шаблон биографии для Alexandra Căpitănescu. Замените на подготовленный текст.,Template facts for Alexandra Căpitănescu.,Шаблон фактов для Alexandra Căpitănescu.,
LU,Eva Marija,Template bio for Eva Marija. Replace with curated text.,Шаблон биографии для Eva Marija. Замените на подготовленный текст.,Template facts for Eva Marija.,Шаблон фактов для Eva Marija.,
CZ,Daniel Zizka,Template bio for Daniel Zizka. Replace with curated text.,Шаблон биографии для Daniel Zizka. Замените на подготовленный текст.,Template facts for Daniel Zizka.,Шаблон фактов для Daniel Zizka.,
AM,Simón,Template bio for Simón. Replace with curated text.,Шаблон биографии для Simón. Замените на подготовленный текст.,Template facts for Simón.,Шаблон фактов для Simón.,
CH,Veronica Fusaro,Template bio for Veronica Fusaro. Replace with curated text.,Шаблон биографии для Veronica Fusaro. Замените на подготовленный текст.,Template facts for Veronica Fusaro.,Шаблон фактов для Veronica Fusaro.,
CY,Antigoni,Template bio for Antigoni. Replace with curated text.,Шаблон биографии для Antigoni. Замените на подготовленный текст.,Template facts for Antigoni.,Шаблон фактов для Antigoni.,
LV,Atvara,Template bio for Atvara. Replace with curated text.,Шаблон биографии для Atvara. Замените на подготовленный текст.,Template facts for Atvara.,Шаблон фактов для Atvara.,
DK,Søren Torpegaard Lund,Template bio for Søren Torpegaard Lund. Replace with curated text.,Шаблон биографии для Søren Torpegaard Lund. Замените на подготовленный текст.,Template facts for Søren Torpegaard Lund.,Шаблон фактов для Søren Torpegaard Lund.,
AU,Delta Goodrem,Template bio for Delta Goodrem. Replace with curated text.,Шаблон биографии для Delta Goodrem. Замените на подготовленный текст.,Template facts for Delta Goodrem.,Шаблон фактов для Delta Goodrem.,
UA,Leléka,Template bio for Leléka. Replace with curated text.,Шаблон биографии для Leléka. Замените на подготовленный текст.,Template facts for Leléka.,Шаблон фактов для Leléka.,
AL,Alis,Template bio for Alis. Replace with curated text.,Шаблон биографии для Alis. Замените на подготовленный текст.,Template facts for Alis.,Шаблон фактов для Alis.,
MT,Aidan,Template bio for Aidan. Replace with curated text.,Шаблон биографии для Aidan. Замените на подготовленный текст.,Template facts for Aidan.,Шаблон фактов для Aidan.,
NO,Jonas Lovv,Template bio for Jonas Lovv. Replace with curated text.,Шаблон биографии для Jonas Lovv. Замените на подготовленный текст.,Template facts for Jonas Lovv.,Шаблон фактов для Jonas Lovv.,
AT,Cosmó,Template bio for Cosmó. Replace with curated text.,Шаблон биографии для Cosmó. Замените на подготовленный текст.,Template facts for Cosmó.,Шаблон фактов для Cosmó.,
FR,Monroe,Template bio for Monroe. Replace with curated text.,Шаблон биографии для Monroe. Замените на подготовленный текст.,Template facts for Monroe.,Шаблон фактов для Monroe.,
DE,Sarah Engels,Template bio for Sarah Engels. Replace with curated text.,Шаблон биографии для Sarah Engels. Замените на подготовленный текст.,Template facts for Sarah Engels.,Шаблон фактов для Sarah Engels.,
IT,Sal Da Vinci,Template bio for Sal Da Vinci. Replace with curated text.,Шаблон биографии для Sal Da Vinci. Замените на подготовленный текст.,Template facts for Sal Da Vinci.,Шаблон фактов для Sal Da Vinci.,
GB,Look Mum No Computer,Template bio for Look Mum No Computer. Replace with curated text.,Шаблон биографии для Look Mum No Computer. Замените на подготовленный текст.,Template facts for Look Mum No Computer.,Шаблон фактов для Look Mum No Computer.,
